Название,цена,конечная_цена,скидка,Мультиплеер,Одиночный,Кооператив,ММО,Русский,Англикий,количество_языков,недавние_оценки+,все_оценки,позитивная_оценка,негативная_оценка,жанр,дата_релиза,Издатель,ОС,Процессор,Оперативная память,Видеокарта,Место на диске
MORDHAU,289.0,289.0,0.0,0,0.0,0.0,0.0,1.0,1.0,8.0,2158.0,2591.0,2027.0,564.0,Экшены,2019-04-29,Triternion,"Windows 7 64 Bit, Windows 8 64 Bit, Windows 10 64 Bit",Intel Core i5 - 6600k or AMD equivalent,16 GB ОЗУ,NVIDIA GTX 1060 or AMD equivalent,20 GB
UBOAT,515.0,437.0,15.0,0,1.0,0.0,0.0,1.0,1.0,10.0,423.0,444.0,353.0,91.0,Экшены,2019-04-30,PlayWay S.A.,Windows 7 64 Bit / Windows 8 64 Bit / Windows 10 64 Bit,Intel Quad Core i7 3770K or AMD Ryzen 5 1600X,8 GB ОЗУ,"GeForce GTX 1060 6 GB (1080p High), GeForce GTX 1070 8GB (1080p Extreme) or AMD equivalents",20 GB
Mortal Kombat 11,1190.0,1190.0,0.0,1,1.0,0.0,0.0,1.0,1.0,12.0,5067.0,7352.0,4140.0,3212.0,Экшены,2019-04-23,QLOC,64-bit Windows 7 / Windows 10,"Intel Core i5-2300, 2.8 GHz / AMD FX-6300, 3.5GHz or AMD Ryzen™ 5 1400, 3.2 GHz",8 GB ОЗУ,NVIDIA® GeForce™ GTX 780 or NVIDIA® GeForce™ GTX 1060-6GB / AMD® Radeon™ R9 290 or RX 570,
MONSTER HUNTER: WORLD,5249.0,5249.0,0.0,1,1.0,1.0,0.0,1.0,1.0,12.0,1202.0,107513.0,72212.0,35301.0,Экшены,2018-08-09,"CAPCOM Co., Ltd.","WINDOWS® 7, 8, 8.1, 10 (требуется 64-разрядная)","Intel® Core™ i7 3770 3,4 ГГц или Intel® Core™ i3 8350 4ГГц или AMD Ryzen™ 5 1500X",8 GB ОЗУ,NVIDIA® GeForce® GTX 1060 (видеопамять 3 ГБ) или AMD Radeon™ RX 570 (видеопамять 4 ГБ),30 GB
PLAYERUNKNOWN'S BATTLEGROUNDS,949.0,949.0,0.0,1,0.0,0.0,0.0,1.0,1.0,17.0,6625.0,983832.0,496482.0,487350.0,Экшены,2017-12-21,PUBG Corporation,"64-bit Windows 7, Windows 8.1, Windows 10",Intel Core i5-6600K / AMD Ryzen 5 1600,16 GB ОЗУ,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB,30 GB
SpellForce 3,99.0,99.0,0.0,1,1.0,1.0,0.0,1.0,1.0,8.0,16.0,2834.0,2030.0,804.0,Ролевые игры,2017-12-07,THQ Nordic,"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB ОЗУ,"NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB",15 GB
Grand Theft Auto V,1499.0,1499.0,0.0,1,1.0,0.0,0.0,1.0,1.0,12.0,3766.0,468876.0,329498.0,139378.0,Экшены,2015-04-14,Rockstar Games,"Windows 8.1 64 Bit, Windows 8 64 Bit, Windows 7 64 Bit Service Pack 1",Intel Core i5 3470 @ 3.2 Ггц (четырехъядерный) / AMD X8 FX-8350 @ 4 Ггц (восьмиядерный),8 GB ОЗУ,NVIDIA GTX 660 с 2 Гб видеопамяти / AMD HD7870 с 2 Гб видеопамяти,72 GB
Fade to Silence,1199.0,1199.0,0.0,1,1.0,1.0,0.0,1.0,1.0,9.0,410.0,444.0,305.0,139.0,Ролевые игры,2019-04-30,THQ Nordic,Windows 10 64bit,Intel Core i7-3770/AMD FX-8350 or better,16 GB ОЗУ,NVIDIA GeForce GTX 1060 or AMD Radeon RX 480,30 GB
Sekiro™: Shadows Die Twice,1999.0,1999.0,0.0,0,1.0,0.0,0.0,1.0,1.0,13.0,17105.0,24867.0,21812.0,3055.0,Экшены,2019-03-21,Activision (Excluding Japan and Asia),Windows 7 64-bit | Windows 8 64-bit | Windows 10 64-bit,Intel Core i5-2500K | AMD Ryzen 5 1400,8 GB ОЗУ,NVIDIA GeForce GTX 970 | AMD Radeon RX 570,25 GB
MudRunner,336.0,336.0,0.0,0,1.0,0.0,0.0,1.0,1.0,9.0,83.0,7031.0,5859.0,1172.0,Симуляторы,2017-10-30,Focus Home Interactive,Windows Vista/7/8/10,Intel® Core 2 Duo 2.5GHz or equivalent,4 GB ОЗУ,NVIDIA GeForce GTX 470 or equivalent,1 GB
RAGE 2,1999.0,1999.0,0.0,0,1.0,0.0,0.0,1.0,1.0,11.0,,,,,Экшены,2019-05-14,Avalanche Studios,,,,,
DARK SOULS™ III,1097.0,1097.0,0.0,1,1.0,1.0,0.0,1.0,1.0,12.0,868.0,110561.0,100608.0,9953.0,Экшены,2016-04-11,"FromSoftware, Inc.","Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD® FX-8350,8 GB ОЗУ,NVIDIA® GeForce GTX 970 / ATI Radeon R9 series,25 GB
Totally Accurate Battle Simulator,360.0,360.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,3319.0,3584.0,3281.0,303.0,Инди,2019-04-01,Landfall,Win 10,Intel Core i7-4770 @ 3.4 GHz or AMD Ryzen 5 1600 @ 3.2 GHz or equivalent,8 GB ОЗУ,NVIDIA GeForce GTX 970 or AMD R9 290X (4GB VRAM with Shader Model 5.0 or better),3 GB
DARK SOULS™: REMASTERED,1199.0,899.0,25.0,1,1.0,0.0,0.0,1.0,1.0,12.0,194.0,12710.0,8691.0,4019.0,Экшены,2018-05-23,"FromSoftware, Inc",Windows 10 64-bit,Intel Core i5-4570 3.2 GHz / AMD FX-8350 4.2 GHz,8 GB ОЗУ,"GeForce GTX 660, 2 GB / Radeon HD 7870, 2 GB",8 GB
Football Manager 2019,129.0,129.0,0.0,0,0.0,0.0,0.0,1.0,1.0,18.0,98.0,3984.0,2973.0,1011.0,Симуляторы,2018-11-02,SEGA,"Windows 7 (SP1), 8/8.1, 10 (1803/April 2018 Update) – 64-bit or 32-bit","Intel Pentium 4, Intel Core or AMD Athlon – 2.2 GHz +",2 GB ОЗУ,"Intel GMA X4500, NVIDIA GeForce 9600M GT or AMD/ATI Mobility Radeon HD 3650 – 256MB VRAM",7 GB
Risk of Rain 2,699.0,699.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,13997.0,19390.0,18369.0,1021.0,Экшены,2019-03-28,Gearbox Publishing,"Windows 7 or newer, 64-bit",Intel Core i5-4670K / AMD Ryzen 5 1500X,4 GB ОЗУ,GTX 680 / AMD HD 7970,4 GB
RESIDENT EVIL 2 / BIOHAZARD RE:2,2079.0,2079.0,0.0,0,1.0,0.0,0.0,1.0,1.0,12.0,501.0,26164.0,25081.0,1083.0,Экшены,2019-01-24,"CAPCOM Co., Ltd.","WINDOWS® 7, 8.1, 10 (64-BIT Required)",Intel® Core™ i7-3770 or AMD FX™-9590 or better,8 GB ОЗУ,NVIDIA® GeForce® GTX 1060 or AMD Radeon™ RX 480  with 3GB VRAM,26 GB
Rust,619.0,619.0,0.0,1,0.0,1.0,1.0,1.0,1.0,13.0,2129.0,274415.0,220630.0,53785.0,Экшены,2018-02-08,Facepunch Studios,Windows 10 64bit,Intel Core i7-4690K / AMD Ryzen 5 1600,16 GB ОЗУ,GTX 980 / AMD R9 Fury,20 GB
Survivor Pass 3: Wild Card,599.0,599.0,0.0,1,0.0,0.0,0.0,1.0,1.0,17.0,414.0,463.0,339.0,124.0,Экшены,2019-03-27,PUBG Corporation,"64-bit Windows 7, Windows 8.1, Windows 10",Intel Core i5-6600K / AMD Ryzen 5 1600,16 GB ОЗУ,NVIDIA GeForce GTX 1060 3GB / AMD Radeon RX 580 4GB,30 GB
Fell Seal: Arbiter's Mark,725.0,616.0,15.0,0,1.0,0.0,0.0,1.0,1.0,6.0,59.0,459.0,428.0,31.0,Инди,2019-04-30,1C Entertainment,Mac OS X 10.11+,Yonah family+,3 GB ОЗУ,512 MB,2 GB
Forager,435.0,435.0,0.0,0,1.0,0.0,0.0,1.0,1.0,11.0,1783.0,2224.0,1988.0,236.0,Экшены,2019-04-18,Humble Bundle,Windows XP and above,1.2Ghz,1024 MB ОЗУ,512MB,200 MB
Total War Saga: THRONES OF BRITANNIA,129.0,129.0,0.0,1,1.0,0.0,0.0,1.0,1.0,13.0,90.0,5989.0,3396.0,2593.0,Экшены,2018-05-02,Feral Interactive (Mac),macOS 10.13.4,1.8GHz Intel Core i3 or better,8 GB ОЗУ,"1GB Nvidia 650M, 2GB AMD Radeon M290, Intel Iris Pro 5200 or better (see notes for more details)",15 GB
Garry's Mod,249.0,249.0,0.0,1,1.0,1.0,0.0,1.0,1.0,25.0,2787.0,380530.0,364055.0,16475.0,Инди,2006-11-29,Valve,Windows® 7/8/8.1/10,2.5 GHz Processor or better,8 GB ОЗУ,1GB dedicated VRAM or better,20 GB
Arma 3 Creator DLC: Global Mobilization - Cold War Germany,999.0,899.0,10.0,1,1.0,1.0,0.0,1.0,1.0,3.0,372.0,396.0,232.0,164.0,Экшены,2019-04-29,Bohemia Interactive,Windows 7/ 8 / 10 (64-разрядная),Intel Core i5-4460 или AMD FX 4300 или лучше,,,
Tom Clancy's Rainbow Six® Siege,999.0,999.0,0.0,1,1.0,1.0,0.0,1.0,1.0,15.0,3937.0,311290.0,251620.0,59670.0,Экшены,2015-12-01,Ubisoft,"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions required)",Intel Core i5-2500K @ 3.3 GHz or better or AMD FX-8120 @ 3.1 Ghz or better,8 GB ОЗУ,NVIDIA GeForce GTX 670 (or GTX 760 / GTX 960) or AMD Radeon HD 7970 (or R9 280x [2GB VRAM] / R9 380 / Fury X),61 GB
Nioh: Complete Edition / 仁王 Complete Edition,930.0,465.0,50.0,0,1.0,0.0,0.0,1.0,1.0,13.0,132.0,12532.0,9858.0,2674.0,Экшены,2017-11-07,"KOEI TECMO GAMES CO., LTD.","Windows® 10 64bit, Windows® 8.1 64bit, Windows® 7 64bit",Intel® Core™ i7 4770K и выше,8 GB ОЗУ,NVIDIA® GeForce® GTX 1060 VRAM 6GB и выше　AMD Radeon™ R9 380X VRAM 4GB и выше,80 GB
Total War: THREE KINGDOMS,1999.0,1999.0,0.0,1,1.0,0.0,0.0,1.0,1.0,13.0,,,,,Экшены,2019-05-23,SEGA,Windows 10 64 Bit,Intel i5-6600 | Ryzen 5 2600X,8 GB ОЗУ,GTX 970 | R9 Fury X 4GB VRAM,60 GB
MORDHAU - Supporter Pack,289.0,289.0,0.0,0,0.0,0.0,0.0,1.0,1.0,2.0,14.0,15.0,13.0,2.0,Экшены,2019-04-29,,"Windows 7 64 Bit, Windows 8 64 Bit, Windows 10 64 Bit",Intel Core i5 - 6600k or AMD equivalent,16 GB ОЗУ,NVIDIA GTX 1060 or AMD equivalent,20 GB
SPORE™,299.0,74.0,75.0,0,1.0,0.0,0.0,1.0,1.0,15.0,152.0,17143.0,15129.0,2014.0,Симуляторы,2008-12-19,Electronic Arts,,"Intel Pentium 4 2,0 ГГц или аналогичный",,,
Valkyria Chronicles 4,1576.0,1576.0,0.0,0,1.0,0.0,0.0,1.0,1.0,10.0,32.0,1613.0,1413.0,200.0,Экшены,2018-09-25,SEGA,Microsoft Windows 7 64-bit,Intel Core i3 6100 or equivalent AMD,4 GB ОЗУ,NVIDIA GeForce 650Ti 2GB,36 GB
Workers & Resources: Soviet Republic,555.0,555.0,0.0,0,1.0,0.0,0.0,1.0,1.0,10.0,360.0,1700.0,1388.0,312.0,Инди,2019-03-15,3Division,"Windows 7, Windows 8, Windows 10","2,5 GHz Dual Core",8 GB ОЗУ,DirectX 11 compatible gamer graphics card,5 GB
The Forest,435.0,435.0,0.0,1,1.0,1.0,0.0,1.0,1.0,16.0,908.0,119485.0,110598.0,8887.0,,2018-04-30,Endnight Games Ltd,Windows 7,Quad Core Processor,4 GB ОЗУ,NVIDIA GeForce GTX 560,5 GB
Dead by Daylight,499.0,499.0,0.0,1,0.0,1.0,0.0,1.0,1.0,13.0,3035.0,186019.0,140911.0,45108.0,Экшены,2016-06-14,Behaviour Digital Inc.,"64-разрядные Операционные системы (Windows 7, Windows 8 и в Windows 8.1)",Intel Core i3-4170 или AMD FX-8300 и выше,8 GB ОЗУ,"поддержка DX11, совместимая видеокарта GeForce 760 или AMD HD на 8800 или выше c 4 Гб оперативной памяти",25 GB
Katana ZERO,360.0,360.0,0.0,0,1.0,0.0,0.0,1.0,1.0,10.0,1957.0,2146.0,2100.0,46.0,Экшены,2019-04-18,Devolver Digital,"Windows 7, 8, 8.1, 10 x64",Intel Core i3-3240 (2 * 3400) or equivalent,2 GB ОЗУ,GeForce 8800 GTS (512 MB),200 MB
Terraria,249.0,249.0,0.0,1,1.0,1.0,0.0,1.0,1.0,9.0,2356.0,263809.0,256000.0,7809.0,Экшены,2011-05-16,Re-Logic,,,,,
Devil May Cry 5,1999.0,1999.0,0.0,0,1.0,0.0,0.0,1.0,1.0,12.0,666.0,19216.0,17719.0,1497.0,Экшены,2019-03-07,"CAPCOM Co., Ltd.","WINDOWS® 7, 8.1, 10 (64-BIT Required)","Intel® Core™ i7-3770, AMD FX™-9590, or better",8 GB ОЗУ,"NVIDIA® GeForce® GTX 1060 with 6GB VRAM, AMD Radeon™ RX 480 with 8GB VRAM, or better",35 GB
Left 4 Dead 2,259.0,259.0,0.0,1,1.0,1.0,0.0,1.0,1.0,19.0,1383.0,260418.0,251998.0,8420.0,Экшены,2009-11-16,Valve,MacOS 10.7,"Dual core Intel processor, 2GHz or better",2 GB ОЗУ,ATI Radeon 2400 or higher / NVIDIA 8600M or higher / Intel HD Graphics 3000,13 GB
Wallpaper Engine,99.0,99.0,0.0,0,0.0,0.0,0.0,1.0,1.0,19.0,1588.0,65794.0,63841.0,1953.0,Анимация и моделирование,2018-11-16,Kristjan Skutta,"Windows 8.1, 10",2.0 GHz Intel i7 or equivalent,2048 MB ОЗУ,"NVIDIA GeForce GTX 660, AMD HD7870, 2 GB VRAM or above",1024 MB
MudRunner - American Wilds Expansion,449.0,336.0,25.0,0,1.0,0.0,0.0,1.0,1.0,9.0,159.0,170.0,121.0,49.0,Симуляторы,2018-10-23,Focus Home Interactive,Windows Vista/7/8/10,Intel® Core 2 Duo 2.5GHz or equivalent,4 GB ОЗУ,NVIDIA GeForce GTX 470 or equivalent,1 GB
A Hat in Time,431.0,431.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,421.0,14613.0,14310.0,303.0,Приключенческие игры,2017-10-05,Gears for Breakfast,Windows 7 / Windows 8 / Windows 10 64-bit only,3.5 GHz processor,8 GB ОЗУ,,5 GB
Assassin's Creed® Odyssey,1999.0,1999.0,0.0,0,1.0,0.0,0.0,1.0,1.0,15.0,1098.0,25378.0,20836.0,4542.0,Экшены,2018-10-05,Ubisoft Montreal,"Windows 7 SP1, Windows 8.1, Windows 10 (64bit versions only)","AMD FX-8350 @ 4.0 GHz, Ryzen 5 - 1400, Intel Core i7-3770 @ 3.5 GHz or better (MORE DETAILS HERE)",8 GB ОЗУ,"AMD Radeon R9 290, NVIDIA GeForce GTX 970  (4GB VRAM with Shader Model 5.0) or better (MORE DETAILS HERE)",46+ GB
Imperator: Rome,725.0,725.0,0.0,1,1.0,0.0,0.0,1.0,1.0,6.0,4633.0,5812.0,2490.0,3322.0,Симуляторы,2019-04-25,Paradox Interactive,Windows® 10 Home 64 bit,Intel® iCore™ i5- 3570K or AMD® Ryzen™ 3 2200G,6 GB ОЗУ,Nvidia® GeForce™ GTX 660 or AMD® Radeon™ R9 380,
RAGE 2,1999.0,1999.0,0.0,0,1.0,0.0,0.0,1.0,1.0,11.0,,,,,Экшены,2019-05-14,Avalanche Studios,,,,,
Yakuza Kiwami 2,1799.0,1799.0,0.0,0,1.0,0.0,0.0,1.0,1.0,3.0,,,,,Экшены,2019-05-09,SEGA,Windows 10 (64-Bit Required),"Intel Core i7-6700, 3.4 GHz / AMD Ryzen 7 1700, 3.7 GHz",16 GB ОЗУ,"GeForce GTX 1070, 8 GB / Radeon RX Vega 56, 8GB",42 GB
Bayonetta,699.0,174.0,75.0,0,1.0,0.0,0.0,1.0,1.0,7.0,282.0,9730.0,8886.0,844.0,Экшены,2017-04-11,SEGA,Windows 7 / 8 (8.1)/ 10,Core i5 4460,8 GB ОЗУ,Radeon HD7870 / Geforce GTX 760 or more (VRAM 2GB or more),20 GB
Ni no Kuni™ II: Revenant Kingdom,1797.0,1797.0,0.0,0,1.0,0.0,0.0,1.0,1.0,7.0,35.0,3864.0,3223.0,641.0,Приключенческие игры,2018-03-23,BANDAI NAMCO Entertainment,"Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD FX-8350,8 GB ОЗУ,NVIDIA GeForce GTX 970 / ATI Radeon R9 series（VRAM3GB or higher / VRAM3GB以上）,40 GB
DARK SOULS™ III - Season Pass,999.0,499.0,50.0,1,1.0,1.0,0.0,1.0,1.0,12.0,942.0,1300.0,844.0,456.0,Экшены,,"FromSoftware, Inc.","Windows 7 SP1 64bit, Windows 8.1 64bit Windows 10 64bit",Intel Core i7-3770 / AMD® FX-8350,8 GB ОЗУ,NVIDIA® GeForce GTX 970 / ATI Radeon R9 series,25 GB
TEKKEN 7,3745.0,3745.0,0.0,1,1.0,0.0,0.0,1.0,1.0,11.0,163.0,18567.0,15426.0,3141.0,Экшены,2017-06-01,BANDAI NAMCO Entertainment,Windows 7/8/10 (64-bit OS required),Intel Core i5-4690 3.5 GHz or equivalent,8 GB ОЗУ,NVIDIA GeForce GTX 1060 equivalent or higher,60 GB
Sid Meier's Civilization® VI: Gathering Storm,1499.0,1499.0,0.0,1,1.0,0.0,0.0,1.0,1.0,12.0,60.0,1383.0,1036.0,347.0,Стратегии,2019-02-13,Aspyr (Mac),Windows 7x64 / Windows 8.1x64 / Windows 10x64,Fourth Generation Intel Core i5 2.5 Ghz or AMD FX8350 4.0 Ghz or greater,8 GB ОЗУ,2GB & AMD 7970 or nVidia 770 or greater,16 GB
SPORE™ Galactic Adventures,499.0,124.0,75.0,0,1.0,0.0,0.0,1.0,1.0,15.0,10.0,2395.0,1943.0,452.0,Экшены,2009-06-23,Electronic Arts,,,,,
SpellForce 3 Digital Extras,249.0,99.0,60.0,1,1.0,1.0,0.0,1.0,1.0,3.0,,8.0,8.0,0.0,Ролевые игры,2017-12-07,THQ Nordic,"Windows 7, 8, Windows 10 (64 bit)","Intel Core i7-4790, AMD FX-8350",8 GB ОЗУ,"NVIDIA GTX 970 4GB, AMD Radeon R9 290 4GB",15 GB
The Elder Scrolls Online - Elsweyr,1499.0,1499.0,0.0,0,0.0,0.0,1.0,1.0,1.0,4.0,,,,,Многопользовательские игры,,Bethesda Softworks,Windows 7 64-bit,Intel® Core i5 2300 or AMD FX4350,8 GB ОЗУ,Direct X 11.0 compliant video card with 2GB RAM (NVIDIA® GeForce® GTX 750 or AMD Radeon™ HD 7850) or higher,85 GB
SPORE™ Creepy & Cute Parts Pack,499.0,124.0,75.0,0,1.0,0.0,0.0,1.0,1.0,15.0,525.0,581.0,481.0,100.0,Симуляторы,2008-12-19,Electronic Arts,,"Intel Pentium 4 2,0 ГГц или аналогичный",,,
RimWorld,619.0,619.0,0.0,0,1.0,0.0,0.0,1.0,1.0,23.0,472.0,39477.0,38620.0,857.0,Инди,2018-10-17,Ludeon Studios,Windows XP,Core 2 Duo,4 GB ОЗУ,Intel HD Graphics 3000 with 384 MB of RAM,500 MB
Euro Truck Simulator 2,599.0,599.0,0.0,0,0.0,0.0,0.0,1.0,1.0,24.0,1268.0,182818.0,176979.0,5839.0,Инди,2012-10-12,SCS Software,,,,,
Raft,419.0,419.0,0.0,0,1.0,0.0,0.0,1.0,1.0,12.0,298.0,14785.0,11600.0,3185.0,Приключенческие игры,2018-05-23,Axolot Games,Windows 7 or later,Intel Core i5 2.6GHz or similar,8 GB ОЗУ,GeForce GTX 700 series or similar,3 GB
Subnautica: Below Zero,435.0,435.0,0.0,0,1.0,0.0,0.0,1.0,1.0,2.0,293.0,4605.0,4131.0,474.0,Приключенческие игры,2019-01-30,Unknown Worlds Entertainment,Windows 10 64-bit,Intel Core i5 / AMD Ryzen 5 @ 3Ghz +,8 GB ОЗУ,"Nvidia 1050 Ti / AMD Radeon 570, 4GB VRAM",15 GB
Divinity: Original Sin 2 - Definitive Edition,799.0,799.0,0.0,1,1.0,1.0,0.0,1.0,1.0,9.0,488.0,46706.0,44234.0,2472.0,Приключенческие игры,2017-09-14,Larian Studios,Windows 7 SP1 64-bit or Windows 8.1 64-bit or Windows 10 64-bit,Intel Core i7 or equivalent,8 GB ОЗУ,NVIDIA GeForce GTX 770 or AMD R9 280,60 GB
Conan Exiles,1299.0,1299.0,0.0,1,1.0,1.0,0.0,1.0,1.0,12.0,384.0,31654.0,22052.0,9602.0,Экшены,2018-05-08,Funcom,Windows 7 64 bit / Windows 8 64 bit / Windows 10 64 bit,Intel Quad Core i7 3770K or AMD Ryzen 5 1600X,8 GB ОЗУ,nVidia GeForce GTX 780 Ti/970 (High settings) and 1070 (Ultra settings) or AMD R9 290/AMD RX480 (High settings),50 GB
Danganronpa: Trigger Happy Havoc,419.0,167.0,60.0,0,1.0,0.0,0.0,1.0,1.0,4.0,73.0,5901.0,5735.0,166.0,Приключенческие игры,2016-02-18,Abstraction Games,Windows 7,Intel(R) Core(TM) i5-3470 or better,4 GB ОЗУ,OpenGL 3.2 or DirectX 9.0c compatible GPU with at least 1GB of VRAM,6 GB
Grim Dawn - Forgotten Gods Expansion,459.0,459.0,0.0,1,1.0,1.0,0.0,1.0,1.0,11.0,603.0,653.0,570.0,83.0,Экшены,2019-03-27,Crate Entertainment,Windows 7 / Windows 10,x86 compatible 3.2GHz or faster processor (Intel 4th generation core i-series or better),6 GB ОЗУ,1.5GB NVIDIA GeForce 500 series or ATI Radeon 6000 series or better,
Euro Truck Simulator 2 - Beyond the Baltic Sea,699.0,699.0,0.0,0,1.0,0.0,0.0,1.0,1.0,24.0,27.0,1312.0,1250.0,62.0,Инди,2018-11-29,SCS Software,,,,,
